,utc_datetime,lat,lon,depth,ML,RMS,intensity,locality_1,locality_2,locality_3,name_of_originating_file,PITL_p_arrival_time_man_picked,PITL_s_arrival_time_man_picked,P3MM_p_arrival_time_man_picked,P3MM_s_arrival_time_man_picked,P2LR_p_arrival_time_man_picked,P2LR_s_arrival_time_man_picked,P1GW_p_arrival_time_man_picked,P1GW_s_arrival_time_man_picked,G1WS_p_arrival_time_man_picked,G1WS_s_arrival_time_man_picked,G2EB_p_arrival_time_man_picked,G2EB_s_arrival_time_man_picked,G3GB_p_arrival_time_man_picked,G3GB_s_arrival_time_man_picked,B1BC_p_arrival_time_man_picked,B1BC_s_arrival_time_man_picked,DRUM_p_arrival_time_man_picked,DRUM_s_arrival_time_man_picked,B3FZ_p_arrival_time_man_picked,B3FZ_s_arrival_time_man_picked,TARL_p_arrival_time_man_picked,TARL_s_arrival_time_man_picked
0,2022-04-06T13:20:22.300000Z,56.435,-5.938,4.6,1.1,0.4,      , MULL,ARGYLL &amp, BUTE      <br>,other_data_files/BGS_Data_N55-59_W01-07_2022-04-01_2023_07_04.csv,,,2022-04-06T13:21:07.547045Z,2022-04-06T13:21:10.121700Z,,,2022-04-06T13:20:58.313325Z,2022-04-06T13:21:01.107041Z,,,,,,,,,,,,,,
1,2022-04-14T10:49:22.900000Z,57.766,-5.578,6.5,1.4,0.5,      , POOLEWE,HIGHLAND        <br>,,other_data_files/BGS_Data_N55-59_W01-07_2022-04-01_2023_07_04.csv,,,2022-04-14T10:49:53.514458Z,2022-04-14T10:49:54.059775Z,,,2022-04-14T10:49:54.576417Z,2022-04-14T10:49:57.482317Z,,,2022-04-14T10:49:54.491055Z,2022-04-14T10:50:03.506685Z,2022-04-14T10:49:48.878949Z,2022-04-14T10:49:54.210219Z,,,,,2022-04-14T10:49:53.704923Z,2022-04-14T10:49:55.430213Z,,
2,2022-04-14T11:28:20.400000Z,57.773,-5.652,7.6,0.9,0.4,      , POOLEWE,HIGHLAND        <br>,,other_data_files/BGS_Data_N55-59_W01-07_2022-04-01_2023_07_04.csv,,,2022-04-14T11:28:19.804738Z,2022-04-14T11:28:35.346322Z,,,2022-04-14T11:28:51.986495Z,2022-04-14T11:28:54.985628Z,,,2022-04-14T11:28:37.991205Z,2022-04-14T11:28:46.554947Z,,,,,,,2022-04-14T11:28:51.534564Z,2022-04-14T11:28:54.806805Z,,
3,2022-04-19T03:03:11.900000Z,57.768,-5.569,7.6,1.7,0.5,      , POOLEWE,HIGHLAND        <br>,,other_data_files/BGS_Data_N55-59_W01-07_2022-04-01_2023_07_04.csv,,,2022-04-19T03:03:41.208252Z,2022-04-19T03:03:42.916456Z,,,2022-04-19T03:03:43.526129Z,2022-04-19T03:03:46.276677Z,2022-04-19T03:03:45.073972Z,2022-04-19T03:03:47.922644Z,2022-04-19T03:03:43.376667Z,2022-04-19T03:03:45.407192Z,2022-04-19T03:03:42.409879Z,2022-04-19T03:03:43.629801Z,,,,,2022-04-19T03:03:43.736626Z,2022-04-19T03:03:44.730260Z,,
4,2022-04-19T03:06:10.700000Z,57.791,-5.557,6.7,0.9,0.4,      , POOLEWE,HIGHLAND        <br>,,other_data_files/BGS_Data_N55-59_W01-07_2022-04-01_2023_07_04.csv,,,2022-04-19T03:06:40.017164Z,2022-04-19T03:06:41.100349Z,,,2022-04-19T03:06:43.163294Z,2022-04-19T03:06:44.933644Z,,,,,2022-04-19T03:06:40.266244Z,2022-04-19T03:06:42.124604Z,,,,,,,,
5,2022-04-19T03:11:48.300000Z,57.811,-5.683,6.6,1.0,0.2,      , POOLEWE,HIGHLAND        <br>,,other_data_files/BGS_Data_N55-59_W01-07_2022-04-01_2023_07_04.csv,,,2022-04-19T03:12:17.949435Z,2022-04-19T03:12:19.407028Z,,,2022-04-19T03:12:10.368780Z,2022-04-19T03:12:11.290921Z,,,,,2022-04-19T03:12:19.252145Z,2022-04-19T03:12:19.994388Z,,,,,2022-04-19T03:12:20.223611Z,2022-04-19T03:12:21.163422Z,,
