,utc_datetime,lat,lon,depth,ML,RMS,intensity,locality_1,locality_2,locality_3,name_of_originating_file,PITL_p_arrival_time_man_picked,PITL_s_arrival_time_man_picked,P3MM_p_arrival_time_man_picked,P3MM_s_arrival_time_man_picked,P2LR_p_arrival_time_man_picked,P2LR_s_arrival_time_man_picked,P1GW_p_arrival_time_man_picked,P1GW_s_arrival_time_man_picked,G1WS_p_arrival_time_man_picked,G1WS_s_arrival_time_man_picked,G2EB_p_arrival_time_man_picked,G2EB_s_arrival_time_man_picked,G3GB_p_arrival_time_man_picked,G3GB_s_arrival_time_man_picked,B1BC_p_arrival_time_man_picked,B1BC_s_arrival_time_man_picked,DRUM_p_arrival_time_man_picked,DRUM_s_arrival_time_man_picked,B3FZ_p_arrival_time_man_picked,B3FZ_s_arrival_time_man_picked,TARL_p_arrival_time_man_picked,TARL_s_arrival_time_man_picked
0,2022-04-06T13:20:22.300000Z,56.435,-5.938,4.6,1.1,0.4,      , MULL,ARGYLL &amp, BUTE      <br>,other_data_files/BGS_Data_N55-59_W01-07_2022-04-01_2023_07_04.csv,,,2022-04-06T13:20:55.398907Z,2022-04-06T13:21:07.739473Z,,,2022-04-06T13:20:53.002585Z,2022-04-06T13:21:00.246288Z,,,,,,,2022-04-06T13:21:00.612671Z,2022-04-06T13:21:09.920131Z,,,,,,
1,2022-04-14T10:49:22.900000Z,57.766,-5.578,6.5,1.4,0.5,      , POOLEWE,HIGHLAND        <br>,,other_data_files/BGS_Data_N55-59_W01-07_2022-04-01_2023_07_04.csv,,,2022-04-14T10:50:05.019381Z,2022-04-14T10:50:19.159376Z,,,2022-04-14T10:50:01.907280Z,2022-04-14T10:50:11.318314Z,2022-04-14T10:50:19.628872Z,2022-04-14T10:50:38.795047Z,2022-04-14T10:50:02.592383Z,2022-04-14T10:50:08.780630Z,2022-04-14T10:50:11.482281Z,2022-04-14T10:50:18.059972Z,,,,,2022-04-14T10:50:16.575873Z,2022-04-14T10:50:23.943555Z,,
2,2022-04-14T11:28:20.400000Z,57.773,-5.652,7.6,0.9,0.4,      , POOLEWE,HIGHLAND        <br>,,other_data_files/BGS_Data_N55-59_W01-07_2022-04-01_2023_07_04.csv,,,2022-04-14T11:28:44.587771Z,2022-04-14T11:29:01.909506Z,,,2022-04-14T11:29:07.996170Z,2022-04-14T11:29:17.377450Z,2022-04-14T11:29:13.475959Z,2022-04-14T11:29:26.399536Z,2022-04-14T11:28:44.807097Z,2022-04-14T11:28:51.339445Z,2022-04-14T11:29:01.951397Z,2022-04-14T11:29:09.152150Z,,,,,2022-04-14T11:29:03.865704Z,2022-04-14T11:29:10.959548Z,,
3,2022-04-19T03:03:11.900000Z,57.768,-5.569,7.6,1.7,0.5,      , POOLEWE,HIGHLAND        <br>,,other_data_files/BGS_Data_N55-59_W01-07_2022-04-01_2023_07_04.csv,,,2022-04-19T03:03:53.685672Z,2022-04-19T03:04:00.377796Z,,,,,,,,,,,,,,,,,,
